epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.931998,0.324167,1.750711,0.339093,0.001,2.2195
2,1.568768,0.471667,1.312482,0.578834,0.001,1.8071
3,1.356899,0.550833,1.287017,0.552916,0.001,2.2699
4,1.172551,0.6275,1.358248,0.50324,0.001,2.8397
5,1.035082,0.6775,1.287799,0.593952,0.001,2.0335
6,0.899301,0.725833,1.272782,0.563715,0.001,1.8694
7,0.832031,0.755,1.353272,0.537797,0.001,2.066
8,0.760816,0.77,1.175452,0.617711,0.001,1.9463
9,0.680021,0.81,1.175931,0.593952,0.001,2.1527
10,0.634501,0.8125,1.537108,0.50324,0.001,2.3
11,0.549301,0.845,1.417378,0.559395,0.0005,2.3418
12,0.469123,0.870833,1.192803,0.615551,0.0005,2.2338
