epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.967002,0.2875,1.900709,0.328294,0.0005,22.1826
2,1.72089,0.410833,1.724685,0.393089,0.0005,27.7986
3,1.590253,0.476667,1.67947,0.386609,0.0005,6.1467
4,1.496314,0.524167,1.505847,0.477322,0.0005,7.2647
5,1.457305,0.521667,1.523358,0.50324,0.0005,7.003
6,1.383008,0.538333,1.542451,0.468683,0.0005,7.1992
7,1.345914,0.571667,1.538893,0.440605,0.00025,7.4439
8,1.29806,0.581667,1.458318,0.509719,0.00025,7.5136
9,1.251889,0.595833,1.524362,0.481641,0.00025,7.0472
10,1.230602,0.6075,1.52914,0.481641,0.00025,6.7262
11,1.252217,0.606667,1.455742,0.518359,0.00025,7.2531
12,1.196746,0.615833,1.478157,0.518359,0.00025,6.6278
13,1.18045,0.623333,1.489557,0.4946,0.00025,6.3572
14,1.155812,0.624167,1.414489,0.539957,0.00025,6.5678
15,1.174242,0.625833,1.417069,0.572354,0.00025,6.4046
