epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.966878,0.289167,1.890019,0.345572,0.0005,6.5018
2,1.71986,0.415833,1.73609,0.386609,0.0005,7.0553
3,1.595478,0.471667,1.693105,0.37365,0.0005,7.0154
4,1.491293,0.5225,1.59726,0.412527,0.0005,7.1197
5,1.457967,0.516667,1.559782,0.460043,0.0005,6.8079
6,1.379041,0.531667,1.677535,0.442765,0.0005,6.737
7,1.346252,0.5725,1.524082,0.49676,0.0005,6.9241
8,1.333891,0.549167,1.500363,0.488121,0.0005,6.6991
9,1.286372,0.58,1.464123,0.4946,0.0005,6.9454
10,1.245743,0.593333,1.58634,0.470842,0.0005,6.9903
11,1.275667,0.590833,1.486949,0.550756,0.0005,6.804
12,1.223004,0.5925,1.555418,0.490281,0.00025,6.7493
13,1.154236,0.624167,1.468406,0.533477,0.00025,7.2049
14,1.117942,0.643333,1.399693,0.524838,0.00025,6.9446
15,1.136703,0.651667,1.41709,0.591793,0.00025,6.8253
16,1.099658,0.641667,1.474136,0.568035,0.00025,6.4782
17,1.0977,0.655833,1.631793,0.514039,0.000125,6.7784
18,1.041997,0.675,1.433542,0.557235,0.000125,6.9445
19,1.02151,0.686667,1.444155,0.535637,0.000125,7.8324
