epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.062119,0.217969,1.898198,0.29902,0.0007,84.1252
2,1.758764,0.338466,1.743867,0.341912,0.0007,86.8971
3,1.637745,0.381834,1.721099,0.39951,0.0007,111.4331
4,1.545246,0.410369,1.633395,0.408088,0.0007,90.5437
5,1.459116,0.457268,1.50837,0.448529,0.0007,82.1849
6,1.409848,0.48213,1.39718,0.493873,0.0007,83.342
7,1.344179,0.501342,1.396654,0.51348,0.0007,86.1157
8,1.280211,0.531007,1.32725,0.545343,0.0007,84.3206
9,1.246093,0.537364,1.329469,0.508578,0.0007,85.4766
10,1.207037,0.560531,1.327373,0.509804,0.0007,84.5265
11,1.159747,0.584405,1.285641,0.53799,0.0007,83.2979
12,1.128074,0.590055,1.264376,0.557598,0.0007,88.4868
13,1.098323,0.612798,1.15484,0.607843,0.0007,80.4809
14,1.061456,0.621698,1.156863,0.594363,0.0007,81.1045
15,1.02771,0.634977,1.085053,0.664216,0.0007,80.5528
16,0.996677,0.646984,1.193859,0.616422,0.0007,76.7718
17,0.968854,0.65546,1.064444,0.616422,0.0007,80.3869
18,0.957846,0.665348,1.107014,0.658088,0.0007,77.6644
19,0.929676,0.67227,1.056066,0.683824,0.0007,81.7926
20,0.906482,0.682724,1.064917,0.660539,0.0007,81.7168
21,0.886243,0.685125,1.13882,0.627451,0.0007,77.1522
22,0.85696,0.700664,1.057484,0.683824,0.00035,77.7622
23,0.81791,0.716485,1.047024,0.676471,0.00035,77.1381
24,0.783407,0.727363,0.988173,0.709559,0.00035,76.8175
25,0.7905,0.732589,0.987042,0.70098,0.00035,77.1392
26,0.76622,0.735697,1.056435,0.681373,0.00035,76.6845
27,0.749605,0.7405,0.982885,0.721814,0.00035,77.9008
28,0.737104,0.746857,0.992155,0.697304,0.00035,77.7949
29,0.73178,0.745303,1.006663,0.697304,0.00035,76.6426
30,0.728674,0.743043,1.061113,0.696078,0.000175,80.1764
31,0.690492,0.760418,1.023822,0.708333,0.000175,79.9087
32,0.670411,0.770165,1.040885,0.708333,0.000175,78.856
33,0.669748,0.771013,1.021717,0.714461,8.75e-05,82.3401
34,0.656602,0.773414,1.045116,0.709559,8.75e-05,75.6302
35,0.665908,0.773556,1.01,0.704657,8.75e-05,75.7087
36,0.657379,0.775816,1.025071,0.715686,4.375e-05,76.1105
37,0.639146,0.7785,0.999039,0.721814,4.375e-05,92.2954
38,0.623947,0.783868,1.012174,0.71201,4.375e-05,89.1902
39,0.638092,0.775816,1.037634,0.716912,2.1875e-05,123.2295
40,0.632082,0.780477,1.020002,0.723039,2.1875e-05,76.2828
41,0.627252,0.779912,1.006867,0.715686,2.1875e-05,76.1036
42,0.622654,0.785422,0.990083,0.721814,1.09375e-05,76.3466
43,0.624373,0.784715,1.013022,0.719363,1.09375e-05,75.9112
44,0.630691,0.78528,1.014206,0.726716,1.09375e-05,75.431
45,0.63592,0.778217,1.032215,0.720588,5.46875e-06,75.7697
46,0.629046,0.788247,1.008537,0.718137,5.46875e-06,75.8213
47,0.624627,0.777935,1.003445,0.719363,5.46875e-06,76.0367
48,0.624698,0.78189,1.007547,0.719363,2.734375e-06,75.4861
49,0.62195,0.783868,1.006308,0.721814,2.734375e-06,76.111
50,0.639414,0.775251,1.022939,0.720588,2.734375e-06,75.5342
