epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.002739,0.246928,1.902119,0.314951,0.001,89.4996
2,1.671254,0.378019,1.754657,0.384804,0.001,91.2424
3,1.532417,0.429157,1.60278,0.446078,0.001,83.6486
4,1.417228,0.472666,1.474826,0.477941,0.001,91.695
5,1.323961,0.513632,1.43139,0.526961,0.001,87.1735
6,1.249435,0.539624,1.402396,0.540441,0.001,88.1044
7,1.1598,0.581579,1.196889,0.593137,0.001,88.0907
8,1.125257,0.591185,1.211697,0.620098,0.001,90.3347
9,1.054839,0.623676,1.128154,0.686275,0.001,86.8641
10,1.039778,0.632716,1.110431,0.645833,0.001,88.1276
11,0.982505,0.651081,1.172398,0.599265,0.001,90.3006
12,0.947533,0.668315,1.055802,0.682598,0.001,89.1798
13,0.934681,0.669162,1.064167,0.66299,0.001,88.3086
14,0.887729,0.689363,1.020757,0.677696,0.001,84.809
15,0.865079,0.700523,0.95886,0.716912,0.001,82.2933
16,0.83567,0.709281,1.01101,0.6875,0.001,84.0847
17,0.813858,0.714931,1.029448,0.669118,0.001,82.941
18,0.794725,0.729199,0.984466,0.710784,0.0005,82.282
19,0.755992,0.738946,0.92311,0.721814,0.0005,78.4972
20,0.691171,0.761407,0.987776,0.714461,0.0005,79.3624
21,0.694046,0.760701,0.982163,0.693627,0.0005,78.827
22,0.669128,0.773414,0.986695,0.707108,0.00025,78.1612
23,0.650381,0.781043,0.930234,0.735294,0.00025,82.128
24,0.61847,0.786976,0.918974,0.732843,0.00025,81.3338
25,0.617389,0.786552,0.937577,0.740196,0.00025,81.4662
26,0.633346,0.785563,0.919736,0.738971,0.00025,80.2917
27,0.617537,0.781325,0.909563,0.723039,0.00025,78.3755
28,0.606074,0.792909,0.923287,0.721814,0.00025,80.2322
29,0.61342,0.788529,0.91311,0.742647,0.00025,83.621
30,0.618384,0.787117,0.928665,0.740196,0.000125,83.773
31,0.586546,0.800113,0.926995,0.738971,0.000125,79.3107
32,0.57652,0.801949,0.940345,0.730392,0.000125,84.1684
33,0.585597,0.800396,0.928991,0.740196,6.25e-05,84.3886
34,0.573707,0.801667,0.921583,0.741422,6.25e-05,79.7448
35,0.571304,0.804351,0.938017,0.724265,6.25e-05,79.9244
36,0.555989,0.811979,0.937634,0.737745,3.125e-05,80.9258
37,0.566527,0.801243,0.920329,0.738971,3.125e-05,80.9814
38,0.55109,0.815652,0.940219,0.737745,3.125e-05,83.0729
39,0.554177,0.810708,0.893815,0.746324,3.125e-05,80.404
40,0.564592,0.810708,0.897577,0.743873,3.125e-05,82.3935
41,0.555503,0.81212,0.931962,0.727941,3.125e-05,79.8051
42,0.552725,0.812827,0.924237,0.73652,1.5625e-05,81.8932
43,0.543246,0.820455,0.927006,0.737745,1.5625e-05,80.3527
44,0.542199,0.81325,0.89808,0.741422,1.5625e-05,83.3214
45,0.560619,0.812544,0.914331,0.741422,7.8125e-06,84.0268
46,0.555546,0.808306,0.919029,0.740196,7.8125e-06,84.7963
47,0.565263,0.806752,0.91169,0.743873,7.8125e-06,80.4361
48,0.54663,0.8165,0.920088,0.743873,3.90625e-06,84.6831
49,0.570202,0.803362,0.905322,0.743873,3.90625e-06,85.9099
50,0.548785,0.815087,0.919352,0.735294,3.90625e-06,83.8053
